employee_id,company_id,decision_maker_flag,job_title,email,phone,industry,annual_revenue_m,frequency_of_purchase
E00951,C0701,Yes,Account Manager,svktekninjas@gmail.com,415-238-0082,Food & beverage,23.6,Monthly
E00957,C0715,Yes,Plant Manager,svktekninjas@gmail.com,415-238-0082,Oil & gas,6.7,Yearly
E00959,C0200,Yes,Procurement Specialist,svktekninjas@gmail.com,415-238-0082,Buildings,8.9,Monthly
E00960,C0590,Yes,Sales Executive,svktekninjas@gmail.com,415-238-0082,Vehicles,8.5,Monthly
E00964,C0602,Yes,Growth Marketer,svktekninjas@gmail.com,415-238-0082,Oil & gas,6.7,Monthly
E00967,C0143,Yes,Territory Sales Rep,svktekninjas@gmail.com,415-238-0082,Healthcare,12.7,Monthly
E00970,C0430,Yes,Quality-by-Design Engineer,svktekninjas@gmail.com,415-238-0082,Space,12.3,Monthly
E00971,C0381,Yes,Territory Sales Rep,svktekninjas@gmail.com,415-238-0082,Residential,5.1,Quarterly
E00973,C0340,Yes,Production Planner,svktekninjas@gmail.com,415-238-0082,Utilities,1.1,Quarterly
E00986,C0168,Yes,Electrical Engineer,svktekninjas@gmail.com,415-238-0082,Machine building,3.2,Quarterly
E00989,C0419,Yes,Strategic Buyer,svktekninjas@gmail.com,415-238-0082,Data centres,5.1,Monthly
E00992,C0207,Yes,Software Developer,svktekninjas@gmail.com,415-238-0082,Vehicles,7.7,Monthly
